,xc,yc,area,box_label
0,2785.891014099121,490.82926177978516,503.47830556868576,[213.90134 225.25137 237.88069 244.40715]
1,1510.8977432250977,686.437614440918,496.4207888643723,[220.04079 164.00993 241.7547  184.8653 ]
2,1642.8109130859375,594.539981842041,654.9914622857468,[ 94.00494  70.73364 119.61689  94.34632]
3,1678.9009170532227,725.5481796264648,399.52849068981595,[132.92441 204.51427 152.87743 222.58209]
4,1651.0429306030273,623.5329246520996,323.45325594360474,[105.80206  103.731476 124.2838   119.33437 ]
5,1777.3069763183594,716.3920211791992,936.5766151286662,[227.93478 188.01335 254.67917 220.77069]
6,1760.8926544189453,620.9836311340332,579.2976486554835,[212.7374    98.03982  237.04791  119.927444]
7,1725.7153091430664,607.4504432678223,950.4929066990735,[174.37692  80.94745 205.0537  109.95344]
8,2141.95463180542,751.0467910766602,502.0849353618687,[ 82.7598  228.81374 105.14946 249.27985]
9,1326.3241901397705,919.4252014160156,511.9390167981619,[ 35.871063 140.24043   56.777317 162.60997 ]
10,1338.293758392334,1016.1016311645508,339.68272542313207,[ 48.68219 240.20326  67.90533 256.     ]
11,1455.2431640625,967.9048538208008,206.1510820244439,[169.20232 192.52548 181.28401 207.28423]
12,1728.477882385254,952.2328948974609,765.9464080990292,[179.29524 170.73804 205.66052 197.72775]
13,1724.8400344848633,863.1526260375977,1072.50826774491,[173.9709   78.20681 203.70917 112.09844]
14,1769.9312591552734,913.1724624633789,1565.5690483003855,[214.39561  126.137665 253.4669   164.20726 ]
15,1727.7218933105469,915.0389633178711,1021.8245512600988,[178.887   128.382   204.5568  165.69592]
16,1771.2888488769531,787.6051543951035,1231.3276197115192,[217.63905     3.1445282 252.93864    36.06578  ]
17,1771.9295959472656,832.1270332336426,1381.1207703840919,[215.85919   47.841743 256.        80.41232 ]
18,2002.5415344238281,853.6041870117188,596.7375804381445,[198.44865  74.25746 222.63441  96.95091]
19,1080.0029830932617,1140.4766540527344,637.5481159752235,[ 42.837723 105.31299   69.16824  127.64032 ]
20,1166.3000793457031,1107.2399864196777,455.577934326604,[131.88321   73.3071   152.71695   93.172874]
21,1107.8169059753418,1238.8804550170898,435.5111937572947,[ 73.364845 205.43915   94.26897  224.32176 ]
